Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE PRODUÇÃO,ENGENHARIA DE PRODUÇÃO,RN,NE
2012,72,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,RN,NE
2012,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE TELECOMUNICAÇÕES,ENGENHARIA DE TELECOMUNICAÇÕES,RN,NE
2012,434,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA ELÉTRICA,ENGENHARIA ELÉTRICA,RN,NE
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA MECATRÔNICA,ENGENHARIA MECATRÔNICA,RN,NE
2012,227,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA MECÂNICA,ENGENHARIA MECÂNICA,RN,NE
2012,313,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA QUÍMICA,ENGENHARIA QUÍMICA,RN,NE
2012,198,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA TÊXTIL,ENGENHARIA TÊXTIL,RN,NE
2012,110,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ESTATÍSTICA,ESTATÍSTICA,RN,NE
2012,480,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ESTÉTICA E COSMÉTICA,ESTÉTICA E COSMÉTICA,RN,NE
2012,20,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FABRICAÇÃO MECÂNICA,FABRICAÇÃO MECÂNICA,RN,NE
2012,290,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FARMÁCIA,FARMÁCIA,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FARMÁCIA,FARMÁCIA,RN,NE
2012,312,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FARMÁCIA,FARMÁCIA,RN,NE
